sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
DI_WAT_1,2018-07-09,15:30,MICROZOOPLANKTON & NAUPLII,Rotifers,6.0,1.0,38,6,38.0,2.5
DI_WAT_1,2018-07-09,15:30,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,303.0,1.0,38,6,38.0,2.5
DI_WAT_1,2018-07-09,15:30,CYCLOPOIDS,Cyclopoid copepodid,5.0,1.0,38,6,38.0,2.5
DI_WAT_1,2018-07-09,15:30,CYCLOPOIDS,Limnoithona tetraspina,1.0,1.0,38,6,38.0,2.5
DI_WAT_1,2018-07-09,15:30,CALANOIDS,Acartiella sinensis,1.0,1.0,38,6,38.0,2.5
DI_WAT_1,2018-07-09,15:30,CALANOIDS,Calanoid copepodid,208.0,1.0,38,6,38.0,2.5
DI_WAT_1,2018-07-09,15:30,CALANOIDS,Pseudodiaptomus forbesi adult,1.0,1.0,38,6,38.0,2.5
DI_WAT_1,2018-07-09,15:30,CLADOCERA,Bosmina,5,1.0,38,6,38.0,2.5
DI_WAT_1,2018-07-09,15:30,CLADOCERA,Ceriodaphnia,1,1.0,38,6,38.0,2.5
DI_WAT_1,2018-07-09,15:30,CLADOCERA,Daphnia,1,1.0,38,6,38.0,2.5
DI_WAT_1,2018-07-09,15:30,CLADOCERA,Diaphanosoma,3,1.0,38,6,38.0,2.5
