sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
FC_WAT_2,2018-05-07,13:05,MICROZOOPLANKTON & NAUPLII,Rotifers,3.0,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,345.0,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,MICROZOOPLANKTON & NAUPLII,Ostracods,2.0,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CYCLOPOIDS,Acanthocyclops vernalis adult,2.0,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CYCLOPOIDS,Cyclopoid copepodid,37.0,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CYCLOPOIDS,Eucyclops pectinifer,2.0,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CALANOIDS,Calanoid copepodid,164.0,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CALANOIDS,Eurytemora affinis adult,7.0,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CLADOCERA,Alona,1,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CLADOCERA,Alonella,2,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CLADOCERA,Bosmina,16,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CLADOCERA,Camptocercus,1,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CLADOCERA,Ceriodaphnia,1,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CLADOCERA,Chydorus,7,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CLADOCERA,Eurycercus,4,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CLADOCERA,Picripleuroxus,1,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,CLADOCERA,Sida,2,1.0,25,3,25.0,1
FC_WAT_2,2018-05-07,13:05,HARPACTICOIDS,Harpacticoids,3,1.0,25,3,25.0,1
