sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
DI_SAV_1,2018-03-14,14:35,MICROZOOPLANKTON & NAUPLII,Rotifers,33.0,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,285.0,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,MICROZOOPLANKTON & NAUPLII,Ostracods,27.0,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CYCLOPOIDS,Cyclopoid copepodid,43.0,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CYCLOPOIDS,Eucyclops sp.,1.0,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CYCLOPOIDS,Microcyclops rubellus,3.0,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CALANOIDS,Calanoid copepodid,11.0,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CLADOCERA,Alona,3,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CLADOCERA,Alonella,2,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CLADOCERA,Bosmina,4,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CLADOCERA,Ceriodaphnia,1,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CLADOCERA,Chydorus,191,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CLADOCERA,Daphnia,1,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CLADOCERA,Disparalona,1,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CLADOCERA,Graptoleberis,7,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CLADOCERA,Picripleuroxus,4,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,CLADOCERA,Simocephalus,3,1.0,34,2,34.0,2
DI_SAV_1,2018-03-14,14:35,HARPACTICOIDS,Harpacticoids,1,1.0,34,2,34.0,2
