sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
USGS_8,2018-07-05,14:00,MICROZOOPLANKTON & NAUPLII,Rotifers,35.0,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,293.0,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CYCLOPOIDS,Cyclopoid copepodid,4.0,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CYCLOPOIDS,Limnoithona tetraspina,2.0,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CYCLOPOIDS,Microcyclops rubellus,1.0,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CALANOIDS,Calanoid copepodid,189.0,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CALANOIDS,Pseudodiaptomus forbesi adult,2.0,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CLADOCERA,Alona,2,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CLADOCERA,Bosmina,1,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CLADOCERA,Ceriodaphnia,6,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CLADOCERA,Chydorus,2,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CLADOCERA,Daphnia,2,1.0,44,3,44.0,1
USGS_8,2018-07-05,14:00,CLADOCERA,Diaphanosoma,2,1.0,44,3,44.0,1
