sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
LH_WAT_2,2018-04-10,15:50,MICROZOOPLANKTON & NAUPLII,Rotifers,102.0,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,263.0,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,MICROZOOPLANKTON & NAUPLII,Ostracods,2.0,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CYCLOPOIDS,Cyclopoid copepodid,58.0,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CYCLOPOIDS,Diacyclops thomasi,6.0,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CALANOIDS,Calanoid copepodid,116.0,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CALANOIDS,Sinocalanus doerrii adult,3.0,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CLADOCERA,Alona,3,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CLADOCERA,Bosmina,24,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CLADOCERA,Camptocercus,1,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CLADOCERA,Ceriodaphnia,3,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CLADOCERA,Chydorus,48,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CLADOCERA,Daphnia,3,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CLADOCERA,Graptoleberis,1,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,CLADOCERA,Ilyocryptus,4,1.0,30,6.8,30.0,0.8
LH_WAT_2,2018-04-10,15:50,HARPACTICOIDS,Harpacticoids,6,1.0,30,6.8,30.0,0.8
