date,time,site,taxon,genus,density,type,volume_avg
6/29/2017,10:30,FI_SAV_1,Cyclotella sp.,Cyclotella,214.4903701,i,312.473537
6/29/2017,10:30,FI_SAV_1,Gomphonema sp.,Gomphonema,214.4903701,i,113.5380954
6/29/2017,10:30,FI_SAV_1,Nitzschia sp.,Nitzschia,214.4903701,i,38.332
6/29/2017,10:30,FI_SAV_1,Chlorella sp.,Chlorella,3431.845921,i,11.49403061
6/29/2017,10:30,FI_SAV_1,Chroococcus microscopicus,Chroococcus,89442.48432,c,0.166766069
6/29/2017,10:30,FI_SAV_1,Chroococcus minimus,Chroococcus,214.4903701,c,3.591360968
6/29/2017,10:30,FI_SAV_1,cf. Planktolyngbya sp.,Planktolyngbya,214.4903701,f,0.33929172
6/29/2017,9:20,FI_SAV_2,Achnanthidium sp.,Achnanthidium,1000.95506,i,40.85794875
6/29/2017,9:20,FI_SAV_2,Cyclotella sp.,Cyclotella,250.2387651,i,113.2983018
6/29/2017,9:20,FI_SAV_2,Chlorella sp.,Chlorella,5755.491597,i,50.96496737
6/29/2017,9:20,FI_SAV_2,cf. Cryptomonas sp.,Cryptomonas,250.2387651,i,183.6128455
6/29/2017,9:20,FI_SAV_2,cf. Plagioselmis prolonga,Plagioselmis,250.2387651,i,76.35320336
6/29/2017,9:20,FI_SAV_2,Chroococcus microscopicus,Chroococcus,98343.83467,c,0.166766069
6/29/2017,9:20,FI_SAV_2,cf. Synechococcus sp.,Synechococcus,250.2387651,c,11.49403061
6/29/2017,10:10,FI_WAT_1,Achnanthidium sp.,Achnanthidium,643.4711102,i,149.715613
6/29/2017,10:10,FI_WAT_1,Cyclotella sp.,Cyclotella,1930.413331,i,541.9054255
6/29/2017,10:10,FI_WAT_1,cf. Thalassiosira sp.,Thalassiosira,643.4711102,i,23.65460191
6/29/2017,10:10,FI_WAT_1,Chlorella sp.,Chlorella,6434.711102,i,26.52182638
6/29/2017,10:10,FI_WAT_1,cf. Plagioselmis prolonga,Plagioselmis,1930.413331,i,68.96418368
6/29/2017,10:10,FI_WAT_1,Chroococcus microscopicus,Chroococcus,261892.7418,c,0.166766069
6/29/2017,10:10,FI_WAT_1,cf. Planktolyngbya sp.,Planktolyngbya,643.4711102,f,0.215984313
6/29/2017,9:40,FI_WAT_2,cf. Thalassiosira sp.,Thalassiosira,1286.94222,i,20.42897437
6/29/2017,9:40,FI_WAT_2,Chlorella sp.,Chlorella,5147.768881,i,11.49403061
6/29/2017,9:40,FI_WAT_2,Chroococcus microscopicus,Chroococcus,270257.8663,c,0.166766069
6/29/2017,8:20,LH_SAV_1,Achnanthidium sp.,Achnanthidium,900.8595543,i,173.7770509
6/29/2017,8:20,LH_SAV_1,cf. Thalassiosira sp.,Thalassiosira,450.4297771,i,46.53323108
6/29/2017,8:20,LH_SAV_1,Chlorella sp.,Chlorella,6756.446657,i,11.49403061
6/29/2017,8:20,LH_SAV_1,cf. Ochromonas sp.,Ochromonas,450.4297771,i,91.95224491
6/29/2017,8:20,LH_SAV_1,Chroococcus microscopicus,Chroococcus,195036.0935,c,0.166766069
6/29/2017,8:20,LH_SAV_1,cf. Synechococcus sp.,Synechococcus,900.8595543,c,3.591360968
6/29/2017,8:58,LH_SAV_2,Chlorella sp.,Chlorella,6756.446657,i,26.52182638
6/29/2017,8:58,LH_SAV_2,Drepanochloris nannoselene,Drepanochloris,450.4297771,i,2.640113696
6/29/2017,8:58,LH_SAV_2,Monoraphidium minutum,Monoraphidium,450.4297771,i,8.229395005
