date,time,site,taxon,genus,density,type,volume_avg
3/12/2018,13:35,LH_SAV_1,Fragilaria tenera,Fragilaria,375.3581476,i,607.587433
3/12/2018,13:35,LH_SAV_1,Chlorella sp.,Chlorella,12386.81887,i,14.137155
3/12/2018,13:35,LH_SAV_1,Plagioselmis cf. prolonga,Plagioselmis,375.3581476,i,95.46716052
3/12/2018,13:35,LH_SAV_1,Chroococcus microscopicus,Chroococcus,137756.4402,c,0.190903952
3/12/2018,14:15,LH-WAT-1,cf. Navicula sp.,Navicula,450.4297771,i,187.4351134
3/12/2018,14:15,LH-WAT-1,Chlorella sp.,Chlorella,12612.03376,i,17.15727019
3/12/2018,14:15,LH-WAT-1,Chroococcus microscopicus,Chroococcus,176568.4726,c,0.190903952
3/12/2018,14:45,LH_SAV_2,cf. Nitzschia sp.,Nitzschia,375.3581476,i,251.896
3/12/2018,14:45,LH_SAV_2,Chlorella sp.,Chlorella,10134.66999,i,15.59851795
3/12/2018,14:45,LH_SAV_2,cf. Ochromonas sp.,Ochromonas,375.3581476,i,113.9760998
3/12/2018,14:45,LH_SAV_2,cf. Cryptomonas sp.,Cryptomonas,375.3581476,i,254.2174628
3/12/2018,14:45,LH_SAV_2,Plagioselmis cf. prolonga,Plagioselmis,1876.790738,i,89.30964412
3/12/2018,14:45,LH_SAV_2,Chroococcus microscopicus,Chroococcus,145263.6031,c,0.190903952
3/12/2018,14:55,LH-WAT-2,Cyclotella sp.,Cyclotella,375.3581476,i,899.9500816
3/12/2018,14:55,LH-WAT-2,Chlorella sp.,Chlorella,11260.74443,i,11.49403061
3/12/2018,14:55,LH-WAT-2,cf. Cryptomonas sp.,Cryptomonas,375.3581476,i,543.4322382
3/12/2018,14:55,LH-WAT-2,Plagioselmis cf. prolonga,Plagioselmis,3002.865181,i,100.7908466
3/12/2018,14:55,LH-WAT-2,Chroococcus microscopicus,Chroococcus,150143.259,c,0.190903952
3/12/2018,15:15,FI-SAV-1,Achnanthidium minutissimum,Achnanthidium,187.6790738,i,37.54828368
3/12/2018,15:15,FI-SAV-1,Cyclotella sp.,Cyclotella,375.3581476,i,364.9270944
3/12/2018,15:15,FI-SAV-1,Chlorella sp.,Chlorella,5442.69314,i,17.15727019
3/12/2018,15:15,FI-SAV-1,Plagioselmis nannoplanctica,Plagioselmis,187.6790738,i,596.7410935
3/12/2018,15:15,FI-SAV-1,Plagioselmis prolonga,Plagioselmis,1501.43259,i,104.9471701
3/12/2018,15:15,FI-SAV-1,Chroococcus microscopicus,Chroococcus,73570.19693,c,0.190903952
3/12/2018,15:40,FI_WAT_1,Achnanthidium minutissimum,Achnanthidium,250.2387651,i,67.53476023
3/12/2018,15:40,FI_WAT_1,Chlorella sp.,Chlorella,6506.207892,i,11.49403061
3/12/2018,15:40,FI_WAT_1,Plagioselmis cf. prolonga,Plagioselmis,1501.43259,i,94.49300582
3/12/2018,15:40,FI_WAT_1,Chroococcus microscopicus,Chroococcus,99595.0285,c,0.190903952
3/12/2018,15:55,FI-SAV-2,Cyclotella sp.,Cyclotella,225.2148886,i,460.120413
3/12/2018,15:55,FI-SAV-2,Chlorella sp.,Chlorella,5179.942437,i,14.137155
3/12/2018,15:55,FI-SAV-2,Drepanochloris nannoselene,Drepanochloris,225.2148886,i,2.258410511
3/12/2018,15:55,FI-SAV-2,Chrysococcus sp.,Chrysococcus,225.2148886,i,50.96496737
3/12/2018,15:55,FI-SAV-2,Ochromonas sp.,Ochromonas,225.2148886,i,212.174611
3/12/2018,15:55,FI-SAV-2,Cryptomonas erosa,Cryptomonas,450.4297771,i,468.2498007
3/12/2018,15:55,FI-SAV-2,Plagioselmis cf. prolonga,Plagioselmis,900.8595543,i,82.93038382
3/12/2018,15:55,FI-SAV-2,Chroococcus microscopicus,Chroococcus,87158.16187,c,0.190903952
3/12/2018,16:05,FI_WAT_2,Cyclotella sp.,Cyclotella,750.7162952,i,857.4153092
3/12/2018,16:05,FI_WAT_2,Nitzschia linearis,Nitzschia,250.2387651,i,1837.875
