date,time,site,taxon,genus,density,type,volume_avg
11/1/2017,14:47,DI_WAT_1,Cocconeis placentula,Cocconeis,112.6074443,i,321.34
11/1/2017,14:47,DI_WAT_1,Nitzschia sp.,Nitzschia,112.6074443,i,23.47
11/1/2017,14:47,DI_WAT_1,cf. Tryblionella sp.,Tryblionella,112.6074443,i,394.48
11/1/2017,14:47,DI_WAT_1,cf. Ulnaria sp.,Ulnaria,112.6074443,i,310.82
11/1/2017,14:47,DI_WAT_1,Chlorella sp.,Chlorella,3378.223328,i,7.24
11/1/2017,14:47,DI_WAT_1,cf. Plagioselmis prolonga,Plagioselmis,2477.363774,i,167.73
11/1/2017,14:47,DI_WAT_1,cf. Rhodomonas lacustris,Rhodomonas,112.6074443,i,960.10
11/1/2017,14:47,DI_WAT_1,Chroococcus microscopicus,Chroococcus,45718.62238,c,0.17
9/27/2017,12:19,DI_SAV_1,Achnanthidium minutissimum,Achnanthidium,100.095506,i,50.45
9/27/2017,12:19,DI_SAV_1,Nitzschia sp.,Nitzschia,200.1910121,i,33.74
9/27/2017,12:19,DI_SAV_1,cf. Ulnaria sp.,Ulnaria,100.095506,i,120.42
9/27/2017,12:19,DI_SAV_1,Chlamydomonas sp.,Chlamydomonas,300.2865181,i,124.72
9/27/2017,12:19,DI_SAV_1,Chlorella sp.,Chlorella,4504.297771,i,41.63
9/27/2017,12:19,DI_SAV_1,Monoraphidium minutum,Monoraphidium,200.1910121,i,7.08
9/27/2017,12:19,DI_SAV_1,cf. Pyramimonas sp.,Pyramimonas,100.095506,i,280.77
9/27/2017,12:19,DI_SAV_1,Plagioselmis prolonga,Plagioselmis,1501.43259,i,167.73
9/27/2017,12:19,DI_SAV_1,cf. Rhodomonas lacustris,Rhodomonas,300.2865181,i,902.58
9/27/2017,12:19,DI_SAV_1,Chroococcus microscopicus,Chroococcus,35533.90464,c,0.17
11/1/2017,15:15,DI_SAV_1,Aulacoseira sp. ,Aulacoseira,128.694222,i,229.06
11/1/2017,15:15,DI_SAV_1,Nitzschia cf. agnita,Nitzschia,128.694222,i,152.77
11/1/2017,15:15,DI_SAV_1,Nitzschia sp.,Nitzschia,128.694222,i,46.70
11/1/2017,15:15,DI_SAV_1,Chlorella sp.,Chlorella,5147.768881,i,41.63
11/1/2017,15:15,DI_SAV_1,Monoraphidium minutum,Monoraphidium,128.694222,i,2.38
11/1/2017,15:15,DI_SAV_1,cf. Oocystis sp.,Oocystis,128.694222,i,48.74
11/1/2017,15:15,DI_SAV_1,cf. Ochromonas sp.,Ochromonas,514.7768881,i,716.09
11/1/2017,15:15,DI_SAV_1,Cryptomonas erosa,Cryptomonas,257.3884441,i,435.63
11/1/2017,15:15,DI_SAV_1,Plagioselmis nannoplanctica,Plagioselmis,1158.247998,i,263.55
11/1/2017,15:15,DI_SAV_1,Plagioselmis prolonga,Plagioselmis,2573.884441,i,134.37
11/1/2017,15:15,DI_SAV_1,Chroococcus microscopicus,Chroococcus,48002.94482,c,0.17
11/1/2017,15:15,DI_SAV_1,Trachelomonas sp.,Trachelomonas,128.694222,i,399.98
11/1/2017,16:00,DI_WAT_2,Nitzschia sp.,Nitzschia,643.4711102,i,132.85
11/1/2017,16:00,DI_WAT_2,Chlorella sp.,Chlorella,5576.749622,i,26.52
11/1/2017,16:00,DI_WAT_2,Drepanochloris nannoselene,Drepanochloris,214.4903701,i,1.13
11/1/2017,16:00,DI_WAT_2,cf. Ochromonas sp.,Ochromonas,1501.43259,i,95.47
11/1/2017,16:00,DI_WAT_2,cf. Plagioselmis prolonga,Plagioselmis,2144.903701,i,76.35
11/1/2017,16:00,DI_WAT_2,cf. Rhodomonas lacustris,Rhodomonas,214.4903701,i,596.74
11/1/2017,16:00,DI_WAT_2,Chroococcus microscopicus,Chroococcus,75286.11989,c,0.17
11/1/2017,16:00,DI_WAT_2,Merismopedia tenuissima,Merismopedia,214.4903701,c,0.22
9/27/2017,13:28,DI_SAV_2,Cocconeis placentula,Cocconeis,225.2148886,i,143.55
9/27/2017,13:28,DI_SAV_2,Cyclotella sp.,Cyclotella,112.6074443,i,163.66
9/27/2017,13:28,DI_SAV_2,Melosira varians,Melosira,225.2148886,c,13502.53
9/27/2017,13:28,DI_SAV_2,cf. Navicula sp.,Navicula,225.2148886,i,117.11
9/27/2017,13:28,DI_SAV_2,cf. Rhoicosphenia sp.,Rhoicosphenia,112.6074443,i,146.19
9/27/2017,13:28,DI_SAV_2,Chlorella sp.,Chlorella,4391.690327,i,11.49
9/27/2017,13:28,DI_SAV_2,cf. Cryptomonas sp.,Cryptomonas,112.6074443,i,435.63
9/27/2017,13:28,DI_SAV_2,Plagioselmis nannoplanctica,Plagioselmis,337.8223328,i,314.74
9/27/2017,13:28,DI_SAV_2,Plagioselmis prolonga,Plagioselmis,1463.896776,i,164.87
9/27/2017,13:28,DI_SAV_2,Chroococcus microscopicus,Chroococcus,43128.65116,c,0.17
11/1/2017,15:45,DI_SAV_2,Cyclotella sp.,Cyclotella,150.143259,i,232.66
11/1/2017,15:45,DI_SAV_2,Nitzschia spp.,Nitzschia,300.2865181,i,182.34
11/1/2017,15:45,DI_SAV_2,Chlorella sp.,Chlorella,5255.014066,i,26.52
11/1/2017,15:45,DI_SAV_2,Drepanochloris nannoselene,Drepanochloris,150.143259,i,1.13
11/1/2017,15:45,DI_SAV_2,Plagioselmis prolonga,Plagioselmis,2552.435404,i,89.62
11/1/2017,15:45,DI_SAV_2,Rhodomonas lacustris,Rhodomonas,600.5730362,i,684.50
11/1/2017,15:45,DI_SAV_2,Chroococcus microscopicus,Chroococcus,60357.59014,c,0.17
9/28/2017,14:07,LH_SAV_1,Achnanthidium catenatum,Achnanthidium,187.6790738,i,113.10
9/28/2017,14:07,LH_SAV_1,Achnanthidium minutissimum,Achnanthidium,375.3581476,i,40.95
9/28/2017,14:07,LH_SAV_1,Cocconeis placentula,Cocconeis,187.6790738,i,244.22
9/28/2017,14:07,LH_SAV_1,Cocconeis sp.,Cocconeis,187.6790738,i,147.08
9/28/2017,14:07,LH_SAV_1,Craticula sp.,Craticula,187.6790738,i,247.30
9/28/2017,14:07,LH_SAV_1,Cyclotella sp.,Cyclotella,187.6790738,i,159.13
9/28/2017,14:07,LH_SAV_1,Gyrosigma acuminatum,Gyrosigma,187.6790738,i,6019.00
9/28/2017,14:07,LH_SAV_1,Nitzschia sp.,Nitzschia,187.6790738,i,33.74
9/28/2017,14:07,LH_SAV_1,Nitzschia sp.,Nitzschia,187.6790738,i,72.48
9/28/2017,14:07,LH_SAV_1,cf. Ulnaria sp.,Ulnaria,187.6790738,i,120.42
9/28/2017,14:07,LH_SAV_1,Chlorella sp.,Chlorella,5067.334993,i,11.49
9/28/2017,14:07,LH_SAV_1,Oedogonium sp.,Oedogonium,187.6790738,f,51753.40
9/28/2017,14:07,LH_SAV_1,cf. Oocystis sp.,Oocystis,375.3581476,i,22.99
9/28/2017,14:07,LH_SAV_1,cf. Plagioselmis prolonga,Plagioselmis,1126.074443,i,95.47
9/28/2017,14:07,LH_SAV_1,Chroococcus microscopicus,Chroococcus,74320.91323,c,0.17
9/28/2017,14:07,LH_SAV_1,Merismopedia tenuissima,Merismopedia,187.6790738,c,0.22
9/28/2017,14:07,LH_SAV_1,cf. Amoeba sp.,Amoeba,187.6790738,i,4014.94
9/28/2017,15:10,LH_SAV_2,Achnanthidium minutissimum,Achnanthidium,112.6074443,i,99.99
9/28/2017,15:10,LH_SAV_2,Cocconeis placentula,Cocconeis,675.6446657,i,205.39
