"sample","island","stratum","site","date_time","date","sample_month","category","taxon","genus","sp","stage","tot_vol_m3","indiv_per_ml","cloud","wind_wave","depth_m","temp_c","cond_uscm","do_mgl","ph","turb_ntu","chlor"
"DI-SAV-1","DI","SAV","1",2017-05-25 08:56:00,2017-05-25,5,"CYCLOPOIDS","Eucyclops prionophorus","Eucyclops","prionophorus","not_spec",0.636172512351933,0.000204951664608367,2,2,1,17.5,104,7.49,7.13,11.1,NA
"DI-SAV-1","DI","SAV","1",2017-05-25 08:56:00,2017-05-25,5,"CLADOCERA","Alona","Alona",NA,"not_spec",0.636172512351933,6.83172215361222e-05,2,2,1,17.5,104,7.49,7.13,11.1,NA
"DI-SAV-1","DI","SAV","1",2017-05-25 08:56:00,2017-05-25,5,"CLADOCERA","Bosmina","Bosmina",NA,"not_spec",0.636172512351933,0.00129802720918632,2,2,1,17.5,104,7.49,7.13,11.1,NA
"DI-SAV-1","DI","SAV","1",2017-05-25 08:56:00,2017-05-25,5,"CLADOCERA","Camptocercus","Camptocercus",NA,"not_spec",0.636172512351933,6.83172215361222e-05,2,2,1,17.5,104,7.49,7.13,11.1,NA
"DI-SAV-1","DI","SAV","1",2017-05-25 08:56:00,2017-05-25,5,"CLADOCERA","Ceriodaphnia","Ceriodaphnia",NA,"not_spec",0.636172512351933,6.83172215361222e-05,2,2,1,17.5,104,7.49,7.13,11.1,NA
"DI-SAV-1","DI","SAV","1",2017-05-25 08:56:00,2017-05-25,5,"CLADOCERA","Chydorus","Chydorus",NA,"not_spec",0.636172512351933,0.000341586107680611,2,2,1,17.5,104,7.49,7.13,11.1,NA
"DI-SAV-1","DI","SAV","1",2017-05-25 08:56:00,2017-05-25,5,"CLADOCERA","Eurycercus","Eurycercus",NA,"not_spec",0.636172512351933,0.000273268886144489,2,2,1,17.5,104,7.49,7.13,11.1,NA
"DI-SAV-1","DI","SAV","1",2017-05-25 08:56:00,2017-05-25,5,"CLADOCERA","Graptoleberis","Graptoleberis",NA,"not_spec",0.636172512351933,0.0012297099876502,2,2,1,17.5,104,7.49,7.13,11.1,NA
"DI-SAV-1","DI","SAV","1",2017-05-25 08:56:00,2017-05-25,5,"CLADOCERA","Pleuroxus","Pleuroxus",NA,"not_spec",0.636172512351933,0.000136634443072244,2,2,1,17.5,104,7.49,7.13,11.1,NA
"DI-SAV-1","DI","SAV","1",2017-06-07 13:10:00,2017-06-07,6,"CYCLOPOIDS","Eucyclops pectinifer","Eucyclops","pectinifer","not_spec",1.41371669411541,0.000993126844893427,3,1,1.8,20.39,108,9.92,8.03,9.16,1.83
"DI-SAV-1","DI","SAV","1",2017-06-07 13:10:00,2017-06-07,6,"CYCLOPOIDS","Mesocyclops edax","Mesocyclops","edax","not_spec",1.41371669411541,0.000441389708841523,3,1,1.8,20.39,108,9.92,8.03,9.16,1.83
"DI-SAV-1","DI","SAV","1",2017-06-07 13:10:00,2017-06-07,6,"CLADOCERA","Camptocercus","Camptocercus",NA,"not_spec",1.41371669411541,0.00132416912652457,3,1,1.8,20.39,108,9.92,8.03,9.16,1.83
"DI-SAV-1","DI","SAV","1",2017-06-07 13:10:00,2017-06-07,6,"CLADOCERA","Ceriodaphnia","Ceriodaphnia",NA,"not_spec",1.41371669411541,0.000441389708841523,3,1,1.8,20.39,108,9.92,8.03,9.16,1.83
"DI-SAV-1","DI","SAV","1",2017-06-07 13:10:00,2017-06-07,6,"CLADOCERA","Eurycercus","Eurycercus",NA,"not_spec",1.41371669411541,0.000220694854420762,3,1,1.8,20.39,108,9.92,8.03,9.16,1.83
"DI-SAV-1","DI","SAV","1",2017-06-07 13:10:00,2017-06-07,6,"CLADOCERA","Graptoleberis","Graptoleberis",NA,"not_spec",1.41371669411541,0.00253799082583876,3,1,1.8,20.39,108,9.92,8.03,9.16,1.83
"DI-SAV-1","DI","SAV","1",2017-06-07 13:10:00,2017-06-07,6,"CLADOCERA","Picripleuroxus","Picripleuroxus",NA,"not_spec",1.41371669411541,0.000220694854420762,3,1,1.8,20.39,108,9.92,8.03,9.16,1.83
"DI-SAV-1","DI","SAV","1",2017-06-07 13:10:00,2017-06-07,6,"CLADOCERA","Scaphloberis","Scaphloberis",NA,"not_spec",1.41371669411541,0.000110347427210381,3,1,1.8,20.39,108,9.92,8.03,9.16,1.83
"DI-SAV-1","DI","SAV","1",2017-06-07 13:10:00,2017-06-07,6,"CLADOCERA","Simocephalus","Simocephalus",NA,"not_spec",1.41371669411541,0.000331042281631142,3,1,1.8,20.39,108,9.92,8.03,9.16,1.83
"DI-SAV-1","DI","SAV","1",2017-07-31 08:50:00,2017-07-31,8,"CYCLOPOIDS","Limnoithona tetraspina","Limnoithona","tetraspina","not_spec",1.41371669411541,5.73531326457281e-06,1,2,NA,20.55,163,8.01,7.08,17.3,2.26
"DI-SAV-1","DI","SAV","1",2017-07-31 08:50:00,2017-07-31,8,"CYCLOPOIDS","Macrocyclops albidus","Macrocyclops","albidus","not_spec",1.41371669411541,1.4338283161432e-06,1,2,NA,20.55,163,8.01,7.08,17.3,2.26
"DI-SAV-1","DI","SAV","1",2017-07-31 08:50:00,2017-07-31,8,"CYCLOPOIDS","Microcyclops rubellus","Microcyclops","rubellus","not_spec",1.41371669411541,2.8676566322864e-06,1,2,NA,20.55,163,8.01,7.08,17.3,2.26
"DI-SAV-1","DI","SAV","1",2017-07-31 08:50:00,2017-07-31,8,"CLADOCERA","Alona","Alona",NA,"not_spec",1.41371669411541,1.4338283161432e-06,1,2,NA,20.55,163,8.01,7.08,17.3,2.26
"DI-SAV-1","DI","SAV","1",2017-07-31 08:50:00,2017-07-31,8,"CLADOCERA","Bosmina","Bosmina",NA,"not_spec",1.41371669411541,0.000123309235188315,1,2,NA,20.55,163,8.01,7.08,17.3,2.26
"DI-SAV-1","DI","SAV","1",2017-07-31 08:50:00,2017-07-31,8,"CLADOCERA","Daphnia","Daphnia",NA,"not_spec",1.41371669411541,1.4338283161432e-06,1,2,NA,20.55,163,8.01,7.08,17.3,2.26
"DI-SAV-1","DI","SAV","1",2017-07-31 08:50:00,2017-07-31,8,"CLADOCERA","Eurycercus","Eurycercus",NA,"not_spec",1.41371669411541,7.16914158071601e-06,1,2,NA,20.55,163,8.01,7.08,17.3,2.26
"DI-SAV-1","DI","SAV","1",2017-07-31 08:50:00,2017-07-31,8,"CLADOCERA","Ilyocryptus","Ilyocryptus",NA,"not_spec",1.41371669411541,2.8676566322864e-06,1,2,NA,20.55,163,8.01,7.08,17.3,2.26
"DI-SAV-1","DI","SAV","1",2017-07-31 08:50:00,2017-07-31,8,"CLADOCERA","Moina","Moina",NA,"not_spec",1.41371669411541,1.4338283161432e-06,1,2,NA,20.55,163,8.01,7.08,17.3,2.26
"DI-SAV-1","DI","SAV","1",2017-08-30 12:35:00,2017-08-30,9,"CYCLOPOIDS","Limnoithona tetraspina","Limnoithona","tetraspina","not_spec",1.48440252882118,7.21502408683259e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DI-SAV-1","DI","SAV","1",2017-08-30 12:35:00,2017-08-30,9,"CLADOCERA","Bosmina","Bosmina",NA,"not_spec",1.48440252882118,4.46644348232494e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DI-SAV-1","DI","SAV","1",2017-08-30 12:35:00,2017-08-30,9,"CLADOCERA","Ceriodaphnia","Ceriodaphnia",NA,"not_spec",1.48440252882118,1.03071772669037e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DI-SAV-1","DI","SAV","1",2017-08-30 12:35:00,2017-08-30,9,"CLADOCERA","Chydorus","Chydorus",NA,"not_spec",1.48440252882118,1.37429030225383e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DI-SAV-1","DI","SAV","1",2017-08-30 12:35:00,2017-08-30,9,"CLADOCERA","Diaphanosoma","Diaphanosoma",NA,"not_spec",1.48440252882118,3.43572575563457e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
