date,time,site,taxon,genus,density,type,volume_avg
6/7/2017,13:30,DI_SAV_1,Achnanthidium catenatum,Achnanthidium,375.3581476,i,46.38
5/25/2017,9:07,DI_SAV_1,Achnanthidium minutissimum,Achnanthidium,1126.074443,i,34.69
6/5/2017,14:09,FI_SAV_1,Achnanthidium minutissimum,Achnanthidium,643.4711102,i,60.21
6/5/2017,14:30,FI_WAT_1,Achnanthidium minutissimum,Achnanthidium,563.0372214,i,38.86
5/23/2017,16:05,LH_WAT_1,Achnanthidium sp.,Achnanthidium,375.3581476,i,78.11
5/23/2017,15:38,FI_WAT_1,Achnanthidium sp.,Achnanthidium,450.4297771,i,60.21
6/7/2017,13:30,DI_SAV_1,Actinastrum hantzschii,Actinastrum,375.3581476,c,3.85
6/7/2017,11:21,DI_SAV_2,Amphora sp.,Amphora,900.8595543,i,127.79
6/7/2017,11:21,DI_SAV_2,Aulacoseira sp. ,Aulacoseira,450.4297771,i,729.05
6/5/2017,14:30,FI_WAT_1,Aulacoseira sp. ,Aulacoseira,563.0372214,i,135.05
5/25/2017,9:07,DI_SAV_1,Bacillaria paxillifera,Bacillaria,563.0372214,i,1879.3
5/23/2017,15:29,FI_SAV_1,Chlorella sp.,Chlorella,1801.719109,i,3.59
5/23/2017,16:18,LH_SAV_1,Chlorella sp.,Chlorella,5630.372214,i,26.52
5/25/2017,9:07,DI_SAV_1,Chlorella sp.,Chlorella,8445.558321,i,11.49
5/23/2017,15:38,FI_WAT_1,Chlorella sp.,Chlorella,7657.306211,i,26.52
5/25/2017,8:35,DI_WAT_1,Chlorella sp.,Chlorella,7882.5211,i,26.52
6/5/2017,14:09,FI_SAV_1,Chlorella sp.,Chlorella,7721.653322,i,26.52
6/5/2017,14:30,FI_WAT_1,Chlorella sp.,Chlorella,7882.5211,i,5.58
6/5/2017,16:05,LH_WAT_1,Chlorella sp.,Chlorella,6005.730362,i,26.52
6/7/2017,11:35,DI_WAT_2,Chlorella sp.,Chlorella,2252.148886,i,3.59
