sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
FC_WAT_1_QAQC,2018-06-05,11:30,MICROZOOPLANKTON & NAUPLII,Rotifers,9.0,1.0,38,2,38.0,1
FC_WAT_1_QAQC,2018-06-05,11:30,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,380.0,1.0,38,2,38.0,1
FC_WAT_1_QAQC,2018-06-05,11:30,CYCLOPOIDS,Cyclopoid copepodid,7.0,1.0,38,2,38.0,1
FC_WAT_1_QAQC,2018-06-05,11:30,CALANOIDS,Calanoid copepodid,87.0,1.0,38,2,38.0,1
FC_WAT_1_QAQC,2018-06-05,11:30,CALANOIDS,Pseudodiaptomus forbesi adult,6.0,1.0,38,2,38.0,1
FC_WAT_1_QAQC,2018-06-05,11:30,CLADOCERA,Alonella,3,1.0,38,2,38.0,1
FC_WAT_1_QAQC,2018-06-05,11:30,CLADOCERA,Bosmina,5,1.0,38,2,38.0,1
FC_WAT_1_QAQC,2018-06-05,11:30,CLADOCERA,Ceriodaphnia,1,1.0,38,2,38.0,1
FC_WAT_1_QAQC,2018-06-05,11:30,CLADOCERA,Sida,2,1.0,38,2,38.0,1
FC_WAT_1_QAQC,2018-06-05,11:30,HARPACTICOIDS,Harpacticoids,150,1.0,38,2,38.0,1
