sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
FI_WAT_2_QAQC,2018-07-05,13:40,MICROZOOPLANKTON & NAUPLII,Rotifers,103.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,244.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,MICROZOOPLANKTON & NAUPLII,Ostracods,3.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CYCLOPOIDS,Cyclopoid copepodid,9.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CYCLOPOIDS,Eucyclops pectinifer,1.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CYCLOPOIDS,Limnoithona tetraspina,3.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CYCLOPOIDS,Microcyclops rubellus,1.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CALANOIDS,Acartiella sinensis,2.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CALANOIDS,Calanoid copepodid,151.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CALANOIDS,Pseudodiaptomus forbesi adult,7.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CALANOIDS,Sinocalanus doerrii adult,1.0,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CLADOCERA,Alona,1,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CLADOCERA,Alonella,4,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CLADOCERA,Bosmina,14,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CLADOCERA,Ceriodaphnia,1,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CLADOCERA,Chydorus,10,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,CLADOCERA,Ilyocryptus,1,1.0,54,10,54.0,1.5
FI_WAT_2_QAQC,2018-07-05,13:40,HARPACTICOIDS,Harpacticoids,2,1.0,54,10,54.0,1.5
